unnamed_0,time,club,id,first_name,gender,trained_10_week,trained_im,has_trainer,age,vo2_max,bmi,n_marathons_run,cadence
8057,02:57:01,nan,8035,Kim-Marina,Male,2,2,0,33,12.71832329,20.94,0,164
6602,02:56:58,nan,6583,Alex,Male,2,2,0,50,25.59,20.6,0,162
12793,02:56:50,nan,12756,Rachel,Female,0,4,0,24,12.71832329,17.59,0,155
4661,02:56:45,nan,4644,Angela,Female,1,1,0,43,12.71832329,19.49,0,163
14566,02:55:52,nan,14523,Catharine,Female,0,5,0,38,12.71832329,19.97,0,158
14565,02:55:49,nan,14522,Mark,Male,2,3,0,34,23.55,20.85,0,167
13454,02:55:48,nan,13412,Anne,Female,3,3,0,37,17.26,20.89,0,153
14563,02:55:36,nan,14520,Ashanthie,Male,1,4,0,39,36.65,20.68,0,156
14564,02:55:36,nan,14521,Minolie,Male,1,4,0,30,12.71832329,22.48,0,165
12792,02:55:34,nan,12755,Paul,Male,8,8,0,33,25.65,18.79,0,162
12791,02:55:34,nan,12754,Vanessa,Female,0,5,0,32,18.79,21.22,0,165
13312,02:55:34,nan,13271,Jane,Female,1,4,0,39,12.71832329,20.86,0,154
12790,02:55:33,nan,12753,Mark,Male,3,4,0,50,15.64,21.1,0,151
3152,02:55:29,Lonely Goat Running Club,3142,Sarah,Female,0,3,0,33,16.35,18.97,0,174
1958,02:54:27,nan,1955,Susan,Female,3,3,0,38,14.42,21.78,0,160
8056,02:54:23,nan,8034,Joanna,Female,2,2,0,31,12.71832329,22.29,0,163
14562,02:54:23,nan,14519,Alvin,Male,0,3,0,32,18.44,19.47,0,153
8055,02:54:15,nan,8033,Emma,Female,3,3,0,41,32.84,20.49,0,153
10694,02:53:54,nan,10664,Lisa,Female,2,2,0,33,31.57,18.26,0,161
7093,02:53:10,nan,7071,Craig,Male,4,4,0,36,12.71832329,21.35,0,165
7092,02:52:04,nan,7070,Sam,Male,0,4,0,45,12.71832329,19.0,0,158
4168,02:51:46,nan,4155,Seraphina,Male,0,1,0,27,15.92,19.86,0,155
5362,02:51:43,nan,5344,Anna,Female,5,5,0,30,26.33,22.95,0,161
3151,02:51:26,nan,3141,Zoe,Female,0,3,0,34,11.13,19.75,0,154
12789,02:50:53,nan,12752,Garry,Male,2,4,0,38,10.72,19.1,0,159
6601,02:49:53,Vegan Runners UK,6582,Joanna,Female,5,5,0,36,29.24,20.07,0,157
9678,02:49:29,nan,9651,Carol,Female,0,1,0,31,23.11,22.41,0,156
1956,02:49:27,nan,1953,Val,Female,0,5,0,37,17.01,21.44,0,157
7091,02:49:25,nan,7069,Roger,Male,0,6,0,34,15.55,19.62,0,162
1955,02:48:30,nan,1952,Katelyn,Female,2,6,0,38,21.74,20.42,0,158
12788,02:48:28,nan,12751,Kayleigh,Female,2,3,0,35,11.01,21.24,0,154
3841,02:48:27,nan,3829,Karen,Female,3,3,0,31,25.44,22.19,0,170
3840,02:48:26,nan,3828,Michael,Male,2,5,0,39,22.03,19.82,0,159
12787,02:48:23,nan,12750,Jane,Female,0,3,0,27,12.71832329,20.03,0,164
3150,02:48:18,nan,3140,Roger,Male,4,4,0,31,12.71832329,16.68,0,165
14561,02:48:15,nan,14518,Ben,Male,4,4,0,35,15.54,20.47,0,166
13311,02:48:02,nan,13270,Christina,Female,0,4,0,41,16.69,18.77,0,155
14560,02:47:56,nan,14517,Sarah,Female,0,1,0,27,17.3,20.13,0,157
8054,02:47:56,nan,8032,Mollie,Female,0,2,0,32,12.71832329,19.67,0,156
11414,02:47:45,nan,11381,Scott,Male,0,3,0,36,12.71832329,19.8,0,158
14559,02:47:38,nan,14516,Cara,Female,0,2,0,38,12.71832329,19.17,0,162
5361,02:47:24,nan,5343,Kathy,Female,1,4,0,29,14.58,21.47,0,164
7446,02:47:14,nan,7424,Nikki,Female,0,1,0,41,12.71832329,20.43,0,160
5360,02:47:14,Brighton & Hove Womens Running Club,5342,Helen,Female,0,5,1,27,12.71832329,20.51,0,158
6600,02:47:11,nan,6581,Rowen,Male,0,3,0,31,19.54,21.48,0,156
7090,02:46:56,nan,7068,Shelley,Female,5,5,0,40,11.25,18.63,0,156
6599,02:46:54,nan,6580,Katie,Female,2,2,0,29,13.44,17.72,0,156
6598,02:46:48,nan,6579,Dot,Female,0,3,0,24,19.99,20.49,0,162
14558,02:46:45,nan,14515,Hannah,Female,1,4,0,39,18.73,18.26,0,161
12786,02:46:43,nan,12749,Elaine,Female,0,4,0,38,26.21,19.08,0,161
3149,02:46:38,nan,3139,Mick,Male,1,2,0,37,17.26,23.0,0,164
9403,02:46:37,nan,9379,Paul,Male,0,5,0,34,12.71832329,22.17,0,158
6597,02:46:23,nan,6578,Debra,Female,0,2,0,37,31.44,20.99,20000,1
10693,02:46:23,nan,10663,Malcolm,Male,0,4,0,38,15.31,18.75,0,157
5359,02:46:01,Bognor Regis Tone Zone Runners,5341,David,Male,0,3,0,31,31.77,22.54,0,156
13453,02:45:44,12 in 12,13411,Elizabeth,Female,0,3,0,45,18.08,20.99,0,157
3148,02:45:26,nan,3138,Tracy,Female,0,4,0,30,12.71832329,21.22,0,159
3147,02:45:25,nan,3137,Aimee,Female,0,2,0,35,21.01,18.53,0,164
9402,02:45:25,nan,9378,Angela,Female,1,1,0,35,25.16,21.23,0,1
13345,02:45:09,nan,13303,Gary,Male,0,2,0,33,12.59,19.44,0,165
451,02:44:45,nan,451,Katrina,Female,3,4,0,31,20.33,21.77,0,163
452,02:44:45,nan,452,Steve,Male,0,4,0,38,12.71832329,22.08,0,150
7445,02:44:42,nan,7423,Jo,Male,2,7,0,32,18.34,17.94,0,158
3146,02:44:34,nan,3136,Bex,Male,3,3,0,43,16.0,19.86,0,160
7089,02:44:32,nan,7067,Richard,Male,4,4,0,29,13.51,21.86,0,1
10692,02:44:21,nan,10662,Julie,Female,4,6,0,37,12.71832329,17.94,0,157
1954,02:43:50,nan,1951,Sophie,Female,0,4,0,37,19.04,19.71,0,159
14557,02:43:45,nan,14514,Martyn,Male,0,4,0,40,12.71832329,23.25,0,158
12785,02:43:45,nan,12748,Judy,Female,0,3,0,40,14.38,17.17,0,161
8053,02:43:38,nan,8031,Thomas,Male,3,3,0,30,17.2,21.22,0,162
11413,02:43:38,nan,11380,Dave,Male,0,4,0,34,22.13,21.41,0,165
9925,02:43:19,nan,9898,Elizabeth,Female,6,6,0,29,12.71832329,21.47,0,159
6596,02:43:18,nan,6577,Victoria,Female,0,2,0,37,20.77,20.19,0,172
1953,02:43:15,nan,1950,Amelia,Female,1,6,0,33,17.45,19.46,0,154
6595,02:42:54,nan,6576,Kelly,Female,0,0,0,32,17.16,21.05,0,153
10691,02:42:52,nan,10661,Ruth,Female,1,1,0,30,12.71832329,19.75,0,157
13310,02:42:48,nan,13269,Claire,Female,0,6,0,43,14.04,17.92,0,161
6594,02:42:30,Victory Athletic Club,6575,Sara,Female,0,2,1,30,32.46,18.85,0,157
6593,02:42:30,nan,6574,Sharon,Female,2,2,0,37,21.6,18.5,0,164
7088,02:42:29,nan,7066,Tegan,Female,0,2,0,36,30.34,19.91,0,166
4167,02:42:21,nan,4154,Charlotte,Female,0,2,0,42,20.37,19.99,0,166
1951,02:42:20,nan,1948,Tonia,Female,5,5,0,38,12.71832329,22.55,0,1
3839,02:42:13,nan,3827,Claire,Female,0,2,0,32,12.71832329,20.96,0,160
3144,02:42:10,Lonely Goat Running Club,3134,Karen,Female,0,3,0,30,12.71832329,17.89,0,163
6592,02:42:06,nan,6573,Charlotte,Female,0,1,0,33,35.43,19.63,0,163
7087,02:41:20,nan,7065,Sophie,Female,0,5,0,43,18.18,18.29,0,162
9924,02:41:19,nan,9897,Louise,Female,2,3,0,31,33.0,17.46,0,160
4659,02:41:12,nan,4642,Emma,Female,0,1,0,29,21.8,20.78,0,158
4658,02:41:08,nan,4641,Tracey,Female,3,5,0,33,14.99,21.53,0,157
9401,02:41:06,nan,9377,Steve,Male,1,3,0,35,13.36,20.96,0,166
12784,02:40:57,nan,12747,Kathy,Female,2,3,0,29,18.2,20.85,0,1
3143,02:40:55,nan,3133,Tracy,Female,0,1,0,41,20.92,20.96,0,155
7444,02:40:44,nan,7422,Ellie,Female,2,2,0,24,19.25,20.4,0,158
9677,02:40:25,nan,9650,Gemma,Female,1,2,0,26,12.71832329,20.66,0,159
9400,02:40:13,nan,9376,Molly,Female,3,3,0,41,12.71832329,20.04,0,167
9399,02:40:10,nan,9375,Harriet,Female,2,4,0,44,17.19,23.29,0,164
6591,02:40:07,nan,6572,Lynne,Female,0,1,0,36,12.71832329,22.65,0,160
6590,02:40:03,nan,6571,Russell,Male,0,3,0,41,11.21,17.95,0,161
5358,02:39:59,nan,5340,Jenni,Female,1,1,0,34,12.53,19.42,0,1
5357,02:39:58,nan,5339,Gemma,Female,2,4,0,41,18.36,16.33,0,160
1950,02:39:53,Barking Road Runners,1947,Michael,Male,4,4,0,32,11.72,20.06,0,162
7086,02:39:51,nan,7064,Scott,Male,0,4,0,32,12.94,19.68,0,156
12783,02:39:23,Portsmouth Joggers,12746,John,Male,2,3,0,42,14.59,20.05,0,155
12782,02:39:22,Portsmouth Joggers,12745,Albert,Male,0,7,1,37,25.39,21.04,0,161
10690,02:39:22,Portsmouth Joggers,10660,Phil,Male,0,0,0,42,15.29,21.47,1000000,163
13452,02:39:07,nan,13410,Jason,Male,0,7,0,38,12.71832329,20.44,0,165
6589,02:39:03,nan,6570,Paul,Male,3,3,0,34,12.71832329,21.76,0,156
7085,02:39:00,nan,7063,Tracy,Female,0,3,0,40,12.71832329,20.09,0,164
4657,02:39:00,nan,4640,Melanie,Female,2,7,0,37,37.57,20.37,0,156
6588,02:38:39,Baffins Fitclub,6569,Gemma,Female,0,0,0,31,28.25,21.8,0,153
1949,02:38:21,Fareham Crusaders,1946,Ian,Male,0,1,0,39,12.71832329,23.82,0,159
12780,02:38:19,Fareham Crusaders,12743,Lisa,Female,0,4,0,37,12.71832329,20.4,0,161
9398,02:37:59,nan,9374,Jagjit,Male,0,7,0,27,22.16,20.35,0,149
9397,02:37:56,nan,9373,Kirsty,Female,0,1,0,37,15.18,20.42,0,163
9395,02:37:54,nan,9371,Ross,Male,0,3,0,34,16.29,21.79,0,165
9396,02:37:54,nan,9372,Shane,Male,2,2,0,43,21.63,18.05,0,153
6675,02:37:48,nan,6653,Dave,Male,4,4,0,40,36.72,18.18,0,163
6674,02:37:31,nan,6652,Catherine,Female,0,2,0,26,12.7,23.55,0,163
14555,02:37:27,nan,14512,Jacob,Male,0,4,0,43,10.23,21.18,0,156
14556,02:37:27,nan,14513,Elaine,Female,0,3,0,29,14.6,19.24,0,1
6587,02:37:06,nan,6568,Angie,Female,0,6,0,43,22.21,20.28,0,160
6586,02:37:04,nan,6567,Claire,Female,0,5,0,35,16.78,20.88,0,1
3837,02:37:01,nan,3825,Jim,Male,0,6,0,41,12.71832329,18.75,0,164
1948,02:36:52,Epsom Allsorts,1945,Sue,Female,3,3,0,39,12.71832329,16.91,0,153
449,02:36:49,nan,449,Julia,Female,1,4,0,31,12.71832329,18.22,0,172
3836,02:36:37,nan,3824,Emma,Female,0,8,1,34,22.86,19.95,0,165
5356,02:36:21,On the Run Aylesbury,5338,Holly,Female,0,4,1,31,12.71832329,21.27,0,156
12778,02:36:15,nan,12741,Danielle,Female,1,2,0,33,18.52,21.82,0,164
12779,02:36:15,nan,12742,Jessica,Female,2,4,0,40,12.71832329,22.2,0,166
11412,02:36:00,nan,11379,Zoe,Female,5,5,0,33,12.71832329,22.15,0,166
1947,02:35:57,nan,1944,Rachel,Female,0,4,0,35,13.09,19.72,0,155
1946,02:35:53,nan,1943,Stephanie,Female,0,3,0,33,18.62,20.35,0,167
8052,02:35:53,nan,8030,Katie,Female,0,3,0,41,14.81,19.51,0,162
9394,02:35:51,nan,9370,Ahnaf,Male,0,4,0,29,17.39,19.52,0,164
448,02:35:41,nan,448,Sally,Female,0,5,0,32,12.71832329,18.53,0,165
7084,02:35:37,nan,7062,Laura,Female,0,1,0,34,21.72,20.78,0,157
6585,02:35:36,nan,6566,Rachel,Female,3,3,0,36,21.96,21.27,0,162
1945,02:35:34,St John’s Running Club,1942,Cecile,Female,0,4,1,35,12.71832329,19.08,0,164
3835,02:35:31,nan,3823,Joe,Male,0,3,0,32,12.71832329,20.65,0,166
7443,02:35:24,nan,7421,Shell,Male,2,5,0,37,12.71832329,21.37,0,165
12777,02:35:22,nan,12740,Ruth,Female,0,4,0,35,17.43,20.63,0,169
4656,02:35:21,nan,4639,Debbie,Female,0,1,0,32,21.44,19.66,0,159
7442,02:35:18,nan,7420,Natasha,Female,1,3,0,31,17.56,22.18,0,153
13308,02:35:10,nan,13267,Katie,Female,0,3,0,29,12.71832329,21.28,0,1
8051,02:35:00,nan,8029,Sally,Female,0,0,0,35,12.71832329,20.41,0,160
5355,02:34:45,nan,5337,Peter,Male,1,6,0,39,20.98,19.58,0,152
6673,02:34:42,nan,6651,Kita,Female,1,3,0,32,14.58,19.97,0,159
3141,02:34:40,nan,3131,Nicola,Female,0,1,0,33,16.38,19.89,0,170
3834,02:34:40,nan,3822,Francis,Male,4,4,0,33,10.83,19.57,0,161
9393,02:34:32,nan,9369,Jackie,Male,1,4,0,41,17.67,21.51,0,171
4655,02:34:29,nan,4638,John,Male,0,0,0,41,20.71,20.52,0,163
14554,02:34:28,nan,14511,Kelly,Female,7,7,0,38,15.71,20.25,0,159
10689,02:34:28,nan,10659,Val,Female,7,7,0,33,20.98,20.93,0,165
4654,02:34:13,nan,4637,John,Male,0,4,0,34,12.71832329,20.51,0,158
4653,02:34:13,nan,4636,Pete,Male,2,5,1,38,27.93,18.35,0,165
6584,02:34:03,nan,6565,Charles,Male,4,4,0,35,11.75,20.57,0,158
3833,02:33:53,nan,3821,Matt,Male,6,6,0,39,21.81,22.18,0,165
9391,02:33:51,nan,9367,Laura,Female,0,3,0,38,20.85,23.38,0,159
3140,02:33:45,nan,3130,Rebecca,Female,0,1,0,42,12.71832329,22.24,0,168
5354,02:33:39,Solent Running Sisters,5336,Rebecca,Female,0,3,0,26,12.71832329,20.04,0,160
9390,02:33:38,nan,9366,Abigail,Female,1,1,0,29,17.77,19.38,0,161
11411,02:33:35,nan,11378,Amber,Female,0,4,0,39,14.64,21.5,0,153
447,02:33:31,nan,447,Elizabeth,Female,6,6,0,35,20.14,17.63,0,169
6583,02:33:25,nan,6564,Adam,Male,3,3,0,43,35.45,18.0,0,1
6582,02:33:17,nan,6563,Emma,Female,0,4,0,36,12.71832329,19.01,0,164
3139,02:33:14,nan,3129,Ruth,Female,0,7,0,28,25.05,19.06,0,175
5353,02:33:07,nan,5335,Anna,Female,1,4,0,39,40.65,20.56,0,166
1944,02:33:03,nan,1941,Nerys,Female,1,3,0,35,12.71832329,19.71,0,158
11410,02:33:01,nan,11377,Debi,Female,0,5,0,27,15.8,19.34,0,157
12776,02:32:54,Isle Of Wight RRC,12739,Lyn,Female,1,3,0,33,16.95,21.41,0,155
8050,02:32:52,nan,8028,Sandra,Female,0,0,0,38,30.57,19.31,0,154
5352,02:32:27,nan,5334,Kristine,Female,0,2,0,33,19.2,21.42,0,169
1943,02:32:16,nan,1940,Danielle,Female,3,3,0,32,29.3,21.2,0,158
8049,02:32:04,Ryde Harriers,8027,Michael,Male,0,3,0,45,33.8,17.34,0,170
5351,02:32:00,nan,5333,Malou,Female,0,5,0,25,13.61,19.72,0,158
9389,02:31:43,nan,9365,David,Male,0,2,0,34,14.06,18.35,0,169
7083,02:31:22,nan,7061,Tracy,Female,0,5,0,37,20.83,18.33,0,155
10688,02:31:21,nan,10658,Charlie,Male,1,1,0,35,12.71832329,21.04,0,171
6580,02:31:21,nan,6561,Molly,Female,5,5,0,38,12.71832329,19.14,0,159
11409,02:31:18,Redway Runners,11376,Donna,Female,0,2,0,38,24.22,20.14,0,159
9922,02:31:16,RBR Club,9895,Dave,Male,4,4,1,22,29.19,19.45,0,158
3138,02:31:09,Dagenham 88 Runners,3128,Julie,Female,0,0,0,33,12.71832329,18.65,0,163
6579,02:31:09,Dagenham 88 Runners,6560,Kirsty,Female,0,0,0,44,12.71832329,20.62,0,164
9387,02:30:54,nan,9363,Jason,Male,5,5,0,37,30.97,18.48,0,164
12775,02:30:54,nan,12738,Geoff,Male,3,5,0,44,19.63,22.23,0,169
446,02:30:44,Haslemere Border AC,446,Annalisa,Female,3,3,1,37,31.71,19.53,0,160
7441,02:30:43,nan,7419,Nick,Male,3,3,0,42,22.18,23.29,0,155
11408,02:30:43,nan,11375,Kim,Female,0,1,0,35,27.85,21.89,0,159
3136,02:30:42,nan,3126,Sharon,Female,0,2,0,34,12.71832329,19.42,0,161
14553,02:30:33,nan,14510,Sarah,Female,1,4,0,32,26.28,18.03,0,160
13307,02:30:21,nan,13266,Liz,Female,5,5,0,35,12.71832329,19.38,0,163
8048,02:30:16,nan,8026,Heather,Female,0,3,0,42,12.71832329,22.01,0,165
9385,02:30:09,nan,9361,Lorraine,Female,1,1,0,32,21.98,19.8,0,159
6578,02:30:08,nan,6559,Sue,Female,0,1,0,30,12.71832329,18.52,0,159
1942,02:30:08,nan,1939,Tina,Female,1,5,0,28,19.45,20.36,0,161
10687,02:30:08,nan,10657,Sarah,Female,4,4,0,39,12.71,20.18,0,155
6577,02:30:04,nan,6558,Louise,Female,1,4,0,32,22.19,21.6,1,162
10686,02:30:04,nan,10656,Chloe,Female,0,6,0,33,16.34,18.1,0,164
5350,02:30:03,Team Anstey Amblers and Runners,5332,Tina,Female,2,2,0,41,23.31,21.47,0,156
4652,02:30:02,nan,4635,Nicky,Male,0,3,0,35,17.67,19.58,0,1
9384,02:30:00,Run Mummy Run CRC,9360,Angela,Female,9,9,1,34,12.71832329,20.01,0,161
9383,02:29:59,nan,9359,Michelle,Female,0,3,0,46,28.26,21.33,0,152
14552,02:29:58,nan,14509,Emma,Female,0,1,0,39,12.71832329,21.01,0,164
12774,02:29:54,nan,12737,Louise,Female,0,0,0,29,12.71832329,16.41,0,156
9382,02:29:54,nan,9358,Ian,Male,0,2,0,34,12.71832329,21.87,0,154
3135,02:29:51,nan,3125,Hayleigh,Male,2,2,0,39,23.8,20.06,0,152
14551,02:29:39,nan,14508,Sarah,Female,0,4,0,43,12.71832329,21.13,1000000,164
13451,02:29:36,nan,13409,Jude,Male,5,5,0,38,11.32,20.18,0,160
9921,02:29:18,nan,9894,Oliver,Male,0,6,0,45,23.28,21.52,0,162
12773,02:29:05,nan,12736,Robert,Male,1,7,0,31,10.04,21.15,0,159
7440,02:29:05,nan,7418,Belinda,Female,0,1,0,39,10.82,18.53,0,1
12772,02:28:54,nan,12735,Chelsea,Female,0,2,0,25,11.15,18.76,0,1
3134,02:28:50,nan,3124,Emma,Female,3,3,0,41,33.23,18.5,0,156
14550,02:28:44,nan,14507,Ally,Female,0,2,0,33,20.39,18.71,0,148
7082,02:28:44,nan,7060,Rhiannon,Female,0,4,0,35,27.07,21.19,0,164
8047,02:28:29,nan,8025,Wendy,Female,3,5,0,44,37.9,20.28,0,152
1941,02:28:21,nan,1938,Shona,Female,1,4,0,40,19.46,18.8,0,163
6576,02:28:09,nan,6557,Sid,Male,1,3,0,24,12.71832329,21.23,0,157
6575,02:27:54,nan,6556,Michelle,Female,4,4,0,37,12.71832329,19.06,0,165
3133,02:27:54,nan,3123,Sue,Female,0,4,0,36,13.42,18.89,0,146
4166,02:27:53,nan,4153,Tom,Male,0,3,0,31,12.71832329,20.3,0,157
6574,02:27:53,nan,6555,Michelle,Female,4,4,0,31,13.74,17.24,0,150
9920,02:27:50,nan,9893,Shaun,Male,0,0,0,38,18.83,19.12,0,152
5349,02:27:45,Beginners2Runners,5331,Katie,Female,1,4,1,25,10.19,23.06,1000,157
1940,02:27:43,nan,1937,Louise,Female,0,2,0,45,12.71832329,20.92,1,145
1939,02:27:42,nan,1936,Stephen,Male,0,3,0,48,19.52,20.02,0,170
7439,02:27:40,nan,7417,Sarah,Female,0,4,0,31,12.71832329,18.24,0,152
11407,02:27:40,nan,11374,Nina,Female,2,3,0,36,23.83,19.28,0,162
12771,02:27:27,nan,12734,Hannah,Female,0,7,0,42,12.71832329,22.22,0,161
3832,02:27:14,nan,3820,Pamela,Female,0,1,0,29,17.6,19.64,0,162
14548,02:27:14,nan,14505,Denise,Female,6,6,0,21,12.71832329,21.15,0,159
445,02:27:11,nan,445,Tayla,Male,0,7,0,42,21.18,21.99,0,158
14547,02:27:11,nan,14504,Toby,Male,0,2,0,43,11.47,19.85,0,160
444,02:27:10,nan,444,Jessica,Female,0,2,0,28,29.49,20.5,0,158
443,02:27:06,nan,443,Zaynah,Female,0,5,0,34,38.17,20.22,0,164
442,02:26:58,nan,442,Joy,Female,0,3,0,34,15.88,21.02,0,162
6573,02:26:52,nan,6554,Saskia,Female,0,4,0,33,12.71832329,20.97,0,159
14546,02:26:48,nan,14503,Russell,Male,5,5,0,35,12.71832329,20.73,0,149
10685,02:26:44,nan,10655,Maysie,Male,0,2,0,39,27.49,19.97,0,160
5348,02:26:39,Rebel Runners - Medway,5330,Helen,Female,0,4,1,31,18.4,18.43,0,163
8045,02:26:39,Rebel Runners - Medway,8023,Maxine,Female,2,2,0,35,24.89,20.49,0,160
4651,02:26:37,nan,4634,Charlotte,Female,0,2,0,26,12.71832329,17.54,0,159
10684,02:26:35,nan,10654,Tracey,Female,0,2,0,32,17.94,19.73,0,163
5347,02:26:35,Stubbington Green Runners,5329,Heather,Female,0,2,0,47,22.58,20.16,0,160
7081,02:26:34,Stubbington Green Runners,7059,Claire,Female,0,1,0,28,12.71832329,18.03,0,157
3131,02:26:30,nan,3121,Richard,Male,0,3,0,40,20.0,20.65,0,160
10683,02:26:29,nan,10653,Richard,Male,0,1,0,39,19.77,18.97,0,156
3130,02:26:28,nan,3120,Emma,Female,0,1,0,40,17.09,24.12,0,158
7080,02:26:27,nan,7058,Lisa,Female,1,2,0,42,17.45,20.92,0,148
1938,02:26:22,nan,1935,Kerry,Female,0,1,0,34,12.71832329,22.24,0,156
8044,02:26:14,nan,8022,Maggie,Female,3,3,0,32,16.3,18.51,0,164
6572,02:26:11,Zero to Hero Runners,6553,John,Male,1,1,0,51,28.46,19.72,0,1
3129,02:26:09,nan,3119,Annabel,Female,0,5,0,33,12.71832329,22.47,0,168
5346,02:26:09,100 Marathon Club,5328,Gemma,Female,4,4,0,36,29.41,21.37,0,159
8043,02:26:09,nan,8021,Amy,Female,0,3,0,33,26.38,19.75,0,159
3128,02:26:08,nan,3118,Olivia,Female,2,3,0,23,12.71832329,17.55,0,164
5345,02:26:08,nan,5327,Rahab,Male,1,3,0,37,30.2,19.81,0,157
6571,02:25:58,nan,6552,Charlotte,Female,0,2,0,33,12.8,19.84,0,163
8042,02:25:42,nan,8020,Ruby,Female,0,5,0,32,18.21,21.37,0,167
441,02:25:41,nan,441,Andy,Male,3,3,0,28,29.09,21.35,0,165
9379,02:25:40,nan,9355,Joseph,Male,0,1,0,39,15.67,17.84,0,158
9380,02:25:40,nan,9356,Heather,Female,0,3,0,42,21.3,20.4,0,158
6569,02:25:38,Baffins Fitclub,6550,Richard,Male,0,5,0,33,15.25,19.07,1,1
9378,02:25:29,nan,9354,Jamie,Female,3,3,0,27,17.28,19.59,0,149
1937,02:25:29,nan,1934,Jess,Male,3,3,0,34,19.53,21.87,0,162
9377,02:25:29,nan,9353,Alice,Female,0,1,0,43,20.97,19.09,0,164
6568,02:25:28,nan,6549,Ed,Male,2,5,0,41,12.41,20.77,0,165
11406,02:25:20,nan,11373,Natalie,Female,0,5,0,42,18.94,18.11,0,159
3127,02:25:19,nan,3117,Hannah,Female,3,4,0,32,19.57,20.03,1000,154
12770,02:25:18,nan,12733,Charlie,Male,0,2,0,31,20.46,21.31,0,163
8040,02:25:14,nan,8018,Angie,Female,7,7,0,39,23.59,20.94,700,155
1936,02:25:13,nan,1933,Margaret,Female,0,3,0,45,29.6,19.19,700,1
4165,02:25:13,nan,4152,Heather,Female,0,1,0,34,24.12,19.48,1,162
1935,02:25:07,nan,1932,Charlotte,Female,0,0,0,32,11.55,19.86,0,159
4650,02:25:05,nan,4633,Paul,Male,4,4,0,33,25.72,21.54,0,159
3126,02:25:04,nan,3116,Lucia,Female,1,4,0,37,11.96,20.58,0,156
12769,02:25:03,nan,12732,Phillip,Male,1,1,0,33,21.66,19.33,0,163
3831,02:24:58,nan,3819,Katlyn,Female,0,4,0,44,32.99,19.63,0,163
7079,02:24:57,nan,7057,Brian,Male,3,3,0,34,11.51,21.56,0,163
7438,02:24:46,nan,7416,Lydia,Female,0,2,0,39,15.5,21.32,0,164
4164,02:24:43,nan,4151,Charlie,Male,0,1,0,38,34.66,19.17,0,171
1934,02:24:41,nan,1931,Gary,Male,0,4,0,36,13.16,21.02,0,158
4163,02:24:41,nan,4150,Emily,Female,2,3,0,37,37.48,20.62,0,168
1933,02:24:37,nan,1930,Liza,Female,6,6,0,37,18.87,22.49,0,156
6567,02:24:37,nan,6548,Mark,Male,0,2,0,35,18.33,19.98,0,165
